Metric,M028 Baseline,M029 Multi-Anchor,M030 Adaptive Gated,M031 Dual-Mode (NEW),M031 vs M030 (%),M031 vs M029 (%),M031 vs M028 (%)
10s Position Error (m),65.288,65.043,65.527,65.288,0.37,-0.38,0.0
30s Position Error (m),103.735,103.434,113.726,103.735,8.79,-0.29,0.0
60s Position Error (m),66.758,320.942,261.254,66.759,74.45,79.2,-0.0
70s Position Error (m),53.769,516.44,410.137,53.769,86.89,89.59,0.0
Position RMSE (m),78.324,200.299,172.747,78.324,54.66,60.9,0.0
Maximum Position Error (m),108.354,516.44,410.137,108.353,73.58,79.02,0.0
10s Heading Error (deg),0.453,0.507,3.105,0.453,85.42,10.65,-0.02
30s Heading Error (deg),3.554,27.874,38.249,3.554,90.71,87.25,0.0
60s Heading Error (deg),8.025,124.739,81.613,8.025,90.17,93.57,0.0
70s Heading Error (deg),8.745,141.843,90.418,8.745,90.33,93.83,0.0
Heading RMSE (deg),7.541,72.165,47.104,7.541,83.99,89.55,-0.0
Maximum Heading Error (deg),18.248,142.152,91.129,18.248,79.98,87.16,-0.0
Velocity RMSE (m/s),4.165,4.171,4.161,4.165,-0.09,0.14,0.0
Position Drift Rate (m/s),0.768,7.378,5.859,0.768,86.89,89.59,0.0
