sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
ACCEL,110031461191972,110031456765097,0.08080431,-0.12090719,9.711481
ACCEL,110031462874107,110031459260670,0.08319851,-0.108936176,9.701904
ACCEL,110031471437909,110031461758066,0.109534726,-0.11851298,9.69951
ACCEL,110031472029107,110031464257545,0.090381116,-0.11851298,9.697116
ACCEL,110031472130357,110031466759316,0.076015905,-0.09935937,9.687539
ACCEL,110031472158274,110031469263431,0.0688333,-0.11133038,9.704298
ACCEL,110031478214420,110031471769264,0.0688333,-0.12090719,9.709086
ACCEL,110031478631920,110031474275097,0.0712275,-0.12330139,9.673173
ACCEL,110031483507961,110031476730306,0.08559271,-0.11851298,9.694721
ACCEL,110031484135618,110031479185514,0.090381116,-0.11372458,9.709086
ACCEL,110031488063899,110031481645931,0.092775315,-0.089782566,9.7162695
ACCEL,110031488401399,110031484106347,0.073621705,-0.11133038,9.685144
ACCEL,110031492449055,110031486573639,0.076015905,-0.12090719,9.685144
ACCEL,110031492579055,110031489040931,0.09756372,-0.12808979,9.701904
ACCEL,110031498356295,110031491523066,0.08559271,-0.130484,9.711481
ACCEL,110031498732649,110031494005201,0.0712275,-0.11611878,9.706693
ACCEL,110031505583638,110031496503639,0.078410104,-0.11851298,9.709086
ACCEL,110031510760774,110031499018014,0.107140526,-0.10175357,9.69951
ACCEL,110031510817493,110031501547441,0.10235212,-0.11611878,9.709086
ACCEL,110031510849472,110031504090410,0.10235212,-0.130484,9.713875
GYRO,110031510879680,110031506640410,0.0014647375,-0.003195791,0.0021305273
ACCEL,110031510923013,110031506640410,0.092775315,-0.1400608,9.706693
ACCEL,110031511842336,110031509190410,0.08319851,-0.12090719,9.69951
GYRO,110031511955774,110031509190410,3.9947388E-4,-0.0021305273,-0.0
ACCEL,110031514400461,110031511740410,0.08080431,-0.11133038,9.689933
GYRO,110031514710097,110031511740410,0.0014647375,-0.0,-0.0010652636
ACCEL,110031517571451,110031514290410,0.08319851,-0.10654198,9.697116
GYRO,110031517695357,110031514290410,3.9947388E-4,-0.0,-0.0
GYRO,110031519197597,110031516840410,-6.6578976E-4,0.0010652636,-0.0
ACCEL,110031519328691,110031516840410,0.08319851,-0.11611878,9.706693
ACCEL,110031522157753,110031519390410,0.092775315,-0.11372458,9.689933
GYRO,110031522330461,110031519390410,0.0014647375,-0.0,-0.0
ACCEL,110031524051711,110031521940410,0.073621705,-0.10414778,9.704298
GYRO,110031524164993,110031521940410,3.9947388E-4,-0.0,-0.0
ACCEL,110031526625097,110031524471139,0.0664391,-0.10414778,9.69951
GYRO,110031526738586,110031524471139,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031529713274,110031526978066,0.0712275,-0.108936176,9.711481
GYRO,110031529859524,110031526978066,-6.6578976E-4,-0.0021305273,-0.0010652636
ACCEL,110031531715826,110031529484993,0.08319851,-0.12090719,9.713875
GYRO,110031531840722,110031529484993,3.9947388E-4,-0.0021305273,-0.0021305273
GYRO,110031534678847,110031531991920,-6.6578976E-4,-0.0021305273,0.0010652636
ACCEL,110031534844003,110031531991920,0.095169514,-0.11372458,9.701904
ACCEL,110031537047493,110031534498847,0.08080431,-0.108936176,9.697116
GYRO,110031537637857,110031534498847,-0.0017310535,-0.0021305273,-0.0
ACCEL,110031539192701,110031537005774,0.073621705,-0.108936176,9.689933
GYRO,110031539332493,110031537005774,-0.0017310535,-0.0021305273,-0.0
ACCEL,110031541595618,110031539512701,0.0664391,-0.11133038,9.69951
GYRO,110031541713274,110031539512701,-0.0017310535,-0.0010652636,0.0010652636
ACCEL,110031544042649,110031542019628,0.073621705,-0.10414778,9.704298
GYRO,110031544136607,110031542019628,-6.6578976E-4,-0.0,0.0010652636
ACCEL,110031547774159,110031544526556,0.08559271,-0.12569559,9.711481
GYRO,110031547887388,110031544526556,-0.0017310535,-0.0010652636,-0.0
