config_id,outage_sec,final_pos_err_m,pos_rmse_m,final_heading_err_deg,heading_rmse_deg,cross_track_rmse_m,along_track_rmse_m,vel_rmse_mps
C0_M028,10,3.12,2.45,2.80,2.45,1.20,2.10,0.45
C0_M028,30,11.40,8.20,6.45,5.80,4.80,6.50,0.65
C0_M028,60,27.35,18.40,12.60,10.00,14.50,11.20,0.75
C0_M028,120,426.85,310.20,28.10,20.50,285.40,120.50,0.85
C0_M028,180,312.40,245.80,48.20,35.80,225.10,105.40,0.90
C0_M028,240,268.10,210.50,68.50,51.40,195.20,88.40,0.92
C0_M028,300,218.93,184.20,84.31,64.66,165.20,81.10,0.95
C1_SpeedNetYaw,10,3.10,2.42,2.75,2.40,1.18,2.08,0.44
C1_SpeedNetYaw,30,11.20,8.10,6.30,5.60,4.70,6.40,0.64
C1_SpeedNetYaw,60,24.10,16.80,11.20,9.20,12.80,10.80,0.72
C1_SpeedNetYaw,120,385.20,280.50,24.50,18.20,250.10,115.20,0.82
C1_SpeedNetYaw,180,295.40,230.10,41.20,31.40,210.40,98.20,0.88
C1_SpeedNetYaw,240,242.10,192.40,58.40,44.80,178.50,82.10,0.90
C1_SpeedNetYaw,300,198.40,165.40,72.10,56.20,148.90,74.50,0.93
C2_MotionGated_N10,10,3.05,2.38,2.65,2.35,1.12,2.02,0.43
C2_MotionGated_N10,30,10.80,7.85,6.00,5.30,4.40,6.10,0.62
C2_MotionGated_N10,60,21.40,14.80,9.80,8.10,10.80,9.90,0.69
C2_MotionGated_N10,120,302.10,212.50,20.80,15.20,188.20,98.50,0.78
C2_MotionGated_N10,180,232.40,175.40,32.80,25.10,152.40,81.20,0.83
C2_MotionGated_N10,240,185.20,142.10,45.60,34.80,128.40,67.80,0.85
C2_MotionGated_N10,300,155.80,125.40,54.20,41.80,115.40,60.20,0.88
C3_GNSSCourse_Latch,10,1.45,1.10,0.45,0.42,0.48,0.92,0.41
C3_GNSSCourse_Latch,30,4.80,3.60,1.25,1.10,1.80,3.10,0.58
C3_GNSSCourse_Latch,60,9.80,7.20,2.80,2.15,4.20,5.80,0.65
C3_GNSSCourse_Latch,120,85.40,62.10,7.20,5.40,42.10,44.80,0.74
C3_GNSSCourse_Latch,180,68.50,51.40,11.50,8.40,48.20,35.10,0.78
C3_GNSSCourse_Latch,240,56.20,42.80,15.20,10.80,41.50,28.40,0.81
C3_GNSSCourse_Latch,300,48.20,38.50,18.40,12.50,36.00,24.50,0.84
C4_Oracle_GT_Init,10,1.20,0.95,0.00,0.22,0.38,0.85,0.40
C4_Oracle_GT_Init,30,3.80,2.90,0.80,0.82,1.40,2.50,0.56
C4_Oracle_GT_Init,60,8.45,6.10,2.20,1.75,3.60,4.90,0.63
C4_Oracle_GT_Init,120,72.10,52.40,5.80,4.50,35.80,38.20,0.72
C4_Oracle_GT_Init,180,58.20,43.20,9.80,7.10,40.50,29.80,0.76
C4_Oracle_GT_Init,240,48.10,36.50,13.10,9.20,35.20,24.10,0.79
C4_Oracle_GT_Init,300,42.10,33.40,15.80,10.80,31.20,20.80,0.82
