config_id,outage_sec,initial_heading_err_deg,final_heading_err_deg,heading_drift_growth_deg,heading_rmse_deg
C0_M028,10,2.80,2.80,0.00,2.45
C0_M028,30,2.80,6.45,3.65,5.80
C0_M028,60,2.80,12.60,9.80,10.00
C0_M028,120,2.80,28.10,25.30,20.50
C0_M028,180,2.80,48.20,45.40,35.80
C0_M028,240,2.80,68.50,65.70,51.40
C0_M028,300,2.80,84.31,81.51,64.66
C2_MotionGated_N10,10,2.80,2.65,-0.15,2.35
C2_MotionGated_N10,30,2.80,6.00,3.20,5.30
C2_MotionGated_N10,60,2.80,9.80,7.00,8.10
C2_MotionGated_N10,120,2.80,20.80,18.00,15.20
C2_MotionGated_N10,180,2.80,32.80,30.00,25.10
C2_MotionGated_N10,240,2.80,45.60,42.80,34.80
C2_MotionGated_N10,300,2.80,54.20,51.40,41.80
C3_GNSSCourse_Latch,10,0.42,0.45,0.03,0.42
C3_GNSSCourse_Latch,30,0.42,1.25,0.83,1.10
C3_GNSSCourse_Latch,60,0.42,2.80,2.38,2.15
C3_GNSSCourse_Latch,120,0.42,7.20,6.78,5.40
C3_GNSSCourse_Latch,180,0.42,11.50,11.08,8.40
C3_GNSSCourse_Latch,240,0.42,15.20,14.78,10.80
C3_GNSSCourse_Latch,300,0.42,18.40,17.98,12.50
C4_Oracle_GT_Init,10,0.00,0.00,0.00,0.22
C4_Oracle_GT_Init,30,0.00,0.80,0.80,0.82
C4_Oracle_GT_Init,60,0.00,2.20,2.20,1.75
C4_Oracle_GT_Init,120,0.00,5.80,5.80,4.50
C4_Oracle_GT_Init,180,0.00,9.80,9.80,7.10
C4_Oracle_GT_Init,240,0.00,13.10,13.10,9.20
C4_Oracle_GT_Init,300,0.00,15.80,15.80,10.80
