trajectory,outage_sec,heading_rmse_deg,final_heading_err_deg,final_pos_err_m
Vw04,10,2.45,2.80,3.12
Vw04,30,5.80,6.45,11.40
Vw04,60,10.00,12.60,27.35
Vw04,120,20.50,28.10,426.85
Vw04,180,35.80,48.20,312.40
Vw04,240,51.40,68.50,268.10
Vw04,300,64.66,84.31,218.93
Vw01,10,2.10,2.50,2.80
Vw01,30,5.20,5.90,10.10
Vw01,60,9.20,11.40,25.10
Vw01,120,18.90,25.40,398.20
Vw01,180,32.40,43.10,289.50
Vw01,240,46.80,61.20,245.10
Vw01,300,58.40,76.20,245.80
Vw02,10,2.30,2.70,3.00
Vw02,30,5.50,6.20,10.80
Vw02,60,9.60,12.10,26.40
Vw02,120,19.80,26.80,412.50
Vw02,180,34.10,45.80,301.20
Vw02,240,48.90,64.50,255.40
Vw02,300,61.20,81.10,231.40
