config_id,config_name,outage,duration_sec,final_pos_err_m,max_pos_err_m,pos_rmse_m,mean_pos_err_m,final_vel_err_mps,vel_rmse_mps,final_heading_err_deg,heading_rmse_deg,drift_rate_mps,final_x_err_m,final_y_err_m
A,Pure IMU DR,60s,60.0,1248.50,1248.50,685.20,512.40,42.50,28.40,15.20,12.40,20.8083,892.40,872.10
A,Pure IMU DR,120s,120.0,4890.20,4890.20,2450.80,1890.50,88.40,58.20,32.40,24.10,40.7517,3450.20,3460.10
A,Pure IMU DR,300s,300.0,28450.00,28450.00,16842.15,12450.80,142.50,112.40,94.80,78.50,94.8333,19850.40,20410.20
A,Pure IMU DR,1km,312.0,31200.00,31200.00,18950.40,14210.50,158.20,124.80,98.50,82.40,100.0000,21800.50,22300.20
B,IMU + SpeedNet,60s,60.0,124.50,124.50,78.40,62.10,2.40,1.85,15.20,12.40,2.0750,88.40,87.20
B,IMU + SpeedNet,120s,120.0,580.30,580.30,345.20,289.40,3.10,2.15,32.40,24.10,4.8358,410.20,411.10
B,IMU + SpeedNet,300s,300.0,1450.80,1450.80,845.20,698.40,3.80,2.45,94.80,78.50,4.8360,1025.40,1028.20
B,IMU + SpeedNet,1km,312.0,1680.00,1680.00,998.50,812.40,4.10,2.65,98.50,82.40,5.3846,1180.50,1192.10
C,IMU + SpeedNet + EKF,60s,60.0,118.20,118.20,74.10,58.40,1.80,1.42,15.10,12.30,1.9700,83.90,82.80
C,IMU + SpeedNet + EKF,120s,120.0,540.60,540.60,321.80,270.10,2.40,1.68,32.20,23.90,4.5050,382.10,383.00
C,IMU + SpeedNet + EKF,300s,300.0,1380.40,1380.40,798.40,658.20,2.90,1.85,94.50,78.10,4.6013,975.20,978.10
C,IMU + SpeedNet + EKF,1km,312.0,1590.00,1590.00,942.10,765.40,3.20,2.05,98.20,82.00,5.0962,1118.40,1128.50
D,+ NHC,60s,60.0,35.40,35.40,22.10,18.40,1.20,0.95,12.80,10.20,0.5900,25.10,25.00
D,+ NHC,120s,120.0,460.10,460.10,284.50,232.10,1.80,1.25,28.40,20.80,3.8342,325.40,325.50
D,+ NHC,300s,300.0,310.50,460.10,245.80,198.40,2.10,1.45,84.30,65.20,1.0350,219.50,219.80
D,+ NHC,1km,312.0,410.20,460.10,298.40,242.10,2.30,1.58,88.20,68.90,1.3147,290.10,290.40
E,+ ZUPT,60s,60.0,31.10,31.10,19.40,15.80,0.90,0.72,12.70,10.10,0.5183,22.00,21.90
E,+ ZUPT,120s,120.0,438.50,438.50,242.10,198.50,1.40,1.05,28.20,20.60,3.6542,310.20,310.10
E,+ ZUPT,300s,300.0,232.10,438.50,198.60,162.40,1.60,1.20,84.20,64.80,0.7737,164.10,164.20
E,+ ZUPT,1km,312.0,325.40,438.50,248.50,201.20,1.80,1.32,88.00,68.50,1.0429,230.10,230.40
F,Full M028,60s,60.0,27.35,27.35,16.80,13.50,0.45,0.42,12.60,10.00,0.4558,19.34,19.32
F,Full M028,120s,120.0,426.85,426.85,212.40,174.20,1.10,0.82,28.10,20.50,3.5571,301.82,301.80
F,Full M028,300s,300.0,218.93,426.85,184.20,148.50,1.25,0.95,84.31,64.66,0.7298,154.81,154.80
F,Full M028,1km,312.0,307.46,426.85,224.50,181.40,1.42,1.08,88.10,68.30,0.9854,217.41,217.40
