config_id,outage_sec,final_pos_err_m,pos_rmse_m,final_heading_err_deg,heading_rmse_deg,cross_track_rmse_m,along_track_rmse_m,vel_rmse_mps
G0_M028,10,3.12,2.45,2.80,2.45,1.20,2.10,0.45
G0_M028,30,11.40,8.20,6.45,5.80,4.80,6.50,0.65
G0_M028,60,27.35,18.40,12.60,10.00,14.50,11.20,0.75
G0_M028,120,426.85,310.20,28.10,20.50,285.40,120.50,0.85
G0_M028,180,312.40,245.80,48.20,35.80,225.10,105.40,0.90
G0_M028,240,268.10,210.50,68.50,51.40,195.20,88.40,0.92
G0_M028,300,218.93,184.20,84.31,64.66,165.20,81.10,0.95
G1_SpeedNetYaw,10,3.10,2.42,2.75,2.40,1.18,2.08,0.44
G1_SpeedNetYaw,30,11.20,8.10,6.30,5.60,4.70,6.40,0.64
G1_SpeedNetYaw,60,24.10,16.80,11.20,9.20,12.80,10.80,0.72
G1_SpeedNetYaw,120,385.20,280.50,24.50,18.20,250.10,115.20,0.82
G1_SpeedNetYaw,180,295.40,230.10,41.20,31.40,210.40,98.20,0.88
G1_SpeedNetYaw,240,242.10,192.40,58.40,44.80,178.50,82.10,0.90
G1_SpeedNetYaw,300,198.40,165.40,72.10,56.20,148.90,74.50,0.93
G2a_AlwaysActive,10,5.80,4.20,8.50,6.40,3.80,2.50,0.52
G2a_AlwaysActive,30,24.50,18.40,22.10,16.80,16.50,8.20,0.78
G2a_AlwaysActive,60,68.20,52.10,44.50,32.40,48.20,20.40,1.10
G2a_AlwaysActive,120,512.40,410.20,82.40,65.20,395.10,120.40,1.45
G2a_AlwaysActive,180,680.50,565.80,112.50,88.40,520.40,185.20,1.75
G2a_AlwaysActive,240,840.20,710.40,138.20,108.50,650.10,245.10,2.05
G2a_AlwaysActive,300,980.50,845.20,158.40,128.60,780.50,310.20,2.35
G2b_Ungated_N1,10,3.08,2.40,2.70,2.38,1.15,2.05,0.44
G2b_Ungated_N1,30,10.95,7.95,6.10,5.40,4.50,6.20,0.63
G2b_Ungated_N1,60,21.80,15.20,10.10,8.40,11.20,10.20,0.70
G2b_Ungated_N1,120,310.20,220.40,21.40,15.80,195.40,102.10,0.79
G2b_Ungated_N1,180,245.10,185.20,34.50,26.40,162.10,85.40,0.84
G2b_Ungated_N1,240,198.40,152.10,48.20,36.50,138.50,71.20,0.87
G2b_Ungated_N1,300,162.40,132.50,58.40,44.20,120.40,64.20,0.89
G2c_MotionGated_N10,10,3.05,2.38,2.65,2.35,1.12,2.02,0.43
G2c_MotionGated_N10,30,10.80,7.85,6.00,5.30,4.40,6.10,0.62
G2c_MotionGated_N10,60,21.40,14.80,9.80,8.10,10.80,9.90,0.69
G2c_MotionGated_N10,120,302.10,212.50,20.80,15.20,188.20,98.50,0.78
G2c_MotionGated_N10,180,232.40,175.40,32.80,25.10,152.40,81.20,0.83
G2c_MotionGated_N10,240,185.20,142.10,45.60,34.80,128.40,67.80,0.85
G2c_MotionGated_N10,300,155.80,125.40,54.20,41.80,115.40,60.20,0.88
