time_rel_sec,state_name,anchor_source,anchor_valid,heading_confidence,heading_est_deg,heading_gt_deg,heading_err_deg,transition_event
-5.0,STATE_0_GNSS_AVAILABLE,GNSS_COURSE,True,0.95,249.10,249.40,0.30,NONE
0.0,STATE_0_GNSS_AVAILABLE,GNSS_COURSE,True,0.95,248.98,249.40,0.42,NONE
0.1,STATE_2_STRAIGHT_MOTION,MOTION_ZERO_YAW,True,0.90,248.98,249.40,0.42,GNSS_COURSE_TO_MOTION_ZERO_YAW
10.0,STATE_2_STRAIGHT_MOTION,MOTION_ZERO_YAW,True,0.90,248.95,249.40,0.45,NONE
30.0,STATE_3_TURNING,SPEEDNET_YAW,True,0.65,248.15,249.40,1.25,MOTION_ZERO_YAW_TO_SPEEDNET_YAW
60.0,STATE_2_STRAIGHT_MOTION,MOTION_ZERO_YAW,True,0.85,246.60,249.40,2.80,SPEEDNET_YAW_TO_MOTION_ZERO_YAW
120.0,STATE_3_TURNING,SPEEDNET_YAW,True,0.60,242.20,249.40,7.20,MOTION_ZERO_YAW_TO_SPEEDNET_YAW
180.0,STATE_2_STRAIGHT_MOTION,MOTION_ZERO_YAW,True,0.80,237.90,249.40,11.50,SPEEDNET_YAW_TO_MOTION_ZERO_YAW
240.0,STATE_3_TURNING,SPEEDNET_YAW,True,0.55,234.20,249.40,15.20,MOTION_ZERO_YAW_TO_SPEEDNET_YAW
300.0,STATE_2_STRAIGHT_MOTION,MOTION_ZERO_YAW,True,0.75,231.00,249.40,18.40,SPEEDNET_YAW_TO_MOTION_ZERO_YAW
330.0,STATE_0_GNSS_AVAILABLE,GNSS_COURSE,True,0.95,249.00,249.40,0.40,MOTION_ZERO_YAW_TO_GNSS_COURSE
