config_id,outage_sec,final_pos_err_m,pos_rmse_m,final_heading_err_deg,heading_rmse_deg,cross_track_rmse_m,along_track_rmse_m,vel_rmse_mps
Y0_M028,10,3.12,2.05,2.80,2.45,1.85,0.88,0.42
Y0_M028,30,11.40,7.80,6.45,5.80,6.95,3.52,0.65
Y0_M028,60,27.35,16.80,12.60,10.00,15.10,7.34,0.45
Y0_M028,120,426.85,212.40,28.10,20.50,192.40,89.50,0.82
Y0_M028,180,312.40,235.10,48.20,35.80,211.50,102.80,0.91
Y0_M028,240,268.10,210.40,68.50,51.40,188.40,93.20,0.92
Y0_M028,300,218.93,184.20,84.31,64.66,165.20,81.40,0.95
Y1_SpeedNetYaw,10,3.10,2.02,2.75,2.40,1.82,0.87,0.42
Y1_SpeedNetYaw,30,11.20,7.65,6.20,5.60,6.80,3.48,0.64
Y1_SpeedNetYaw,60,24.10,14.90,10.80,8.80,13.40,6.50,0.44
Y1_SpeedNetYaw,120,385.20,192.10,24.50,17.80,174.10,81.20,0.80
Y1_SpeedNetYaw,180,295.40,218.40,42.10,31.20,196.20,95.40,0.88
Y1_SpeedNetYaw,240,242.10,189.50,59.80,44.50,169.80,84.10,0.90
Y1_SpeedNetYaw,300,198.40,165.80,73.50,56.20,148.90,73.10,0.92
Y2_GTYaw,10,3.05,1.98,2.65,2.30,1.78,0.85,0.41
Y2_GTYaw,30,10.95,7.45,5.90,5.30,6.60,3.40,0.63
Y2_GTYaw,60,22.80,13.90,9.50,7.80,12.50,6.10,0.43
Y2_GTYaw,120,365.10,178.50,21.20,15.40,161.40,75.80,0.78
Y2_GTYaw,180,272.10,201.20,36.80,27.10,181.10,88.20,0.85
Y2_GTYaw,240,215.40,168.40,51.40,38.20,151.20,74.50,0.87
Y2_GTYaw,300,184.50,151.20,62.80,48.10,135.80,66.40,0.89
Y3_GTHeadingInject,10,1.20,0.85,0.00,0.00,0.25,0.81,0.41
Y3_GTHeadingInject,30,3.80,2.65,0.00,0.00,0.82,2.52,0.62
Y3_GTHeadingInject,60,8.45,5.90,0.00,0.00,1.85,5.60,0.42
Y3_GTHeadingInject,120,12.10,8.80,0.00,0.00,2.65,8.38,0.76
Y3_GTHeadingInject,180,16.40,11.80,0.00,0.00,3.58,11.24,0.82
Y3_GTHeadingInject,240,20.80,15.20,0.00,0.00,4.55,14.50,0.85
Y3_GTHeadingInject,300,24.50,17.90,0.00,0.00,5.35,17.08,0.88
